id,course_code,cl_no,course_name,cl_day,cl_start,cl_end,cl_room,lecturer
1,CCAH 4001,10,Arts Appreciation,2,08:30,11:20,KEC 1002,
2,CCAH 4001,11,Arts Appreciation,4,08:30,11:20,KEC 1002,
3,CCAH 4001,12,Arts Appreciation,3,11:30,14:20,KEC 1002,
4,CCAH 4001,13,Arts Appreciation,4,13:00,15:50,KEC 1002,
5,CCAH 4001,14,Arts Appreciation,1,08:30,11:20,KEC 1002,
6,CCAH 4001,15,Arts Appreciation,3,08:30,11:20,KEC 1002,
7,CCAH 4001,16,Arts Appreciation,5,10:00,12:50,KEC 1002,
8,CCAH 4001,17,Arts Appreciation,3,14:30,17:20,KEC 1002,
9,CCAH 4001,18,Arts Appreciation,5,13:00,15:50,KEC 1002,
10,CCAH 4003,07,Design for Brands,2,13:00,15:50,KEC 1003,
11,CCAH 4003,08,Design for Brands,4,14:30,17:20,KEC 1003,
12,CCAH 4003,09,Design for Brands,3,08:30,11:20,CIT 803,
13,CCAH 4003,10,Design for Brands,1,13:00,15:50,CIT 802,
14,CCAH 4003,11,Design for Brands,1,08:30,11:20,CIT 1005,
15,CCAH 4003,12,Design for Brands,2,14:30,17:20,CIT 1005,
16,CCAH 4004,06,From Revolution to Modernisation: A History of Modern China,1,13:00,14:20,KEC 701,
17,CCAH 4004,06,From Revolution to Modernisation: A History of Modern China,2,16:00,17:20,KEC 604,
18,CCAH 4004,07,From Revolution to Modernisation: A History of Modern China,1,08:30,09:50,KEC 601,
19,CCAH 4004,07,From Revolution to Modernisation: A History of Modern China,3,13:00,14:20,KEC 604,
20,CCAH 4004,08,From Revolution to Modernisation: A History of Modern China,2,14:30,15:50,KEC 604,
21,CCAH 4004,08,From Revolution to Modernisation: A History of Modern China,3,16:00,17:20,KEC 503,
22,CCAH 4004,09,From Revolution to Modernisation: A History of Modern China,2,08:30,09:50,KEC 807,
23,CCAH 4004,09,From Revolution to Modernisation: A History of Modern China,5,08:30,09:50,KEC 508,
24,CCAH 4004,10,From Revolution to Modernisation: A History of Modern China,2,10:00,11:20,CIT 804,
25,CCAH 4004,10,From Revolution to Modernisation: A History of Modern China,5,10:00,11:20,CIT 1005,
26,CCAH 4004,11,From Revolution to Modernisation: A History of Modern China,1,11:30,12:50,CIT 803,
27,CCAH 4004,11,From Revolution to Modernisation: A History of Modern China,4,10:00,11:20,CIT 803,
28,CCAH 4004,12,From Revolution to Modernisation: A History of Modern China,2,14:30,15:50,CIT 804,
29,CCAH 4004,12,From Revolution to Modernisation: A History of Modern China,3,14:30,15:50,CIT 804,
30,CCAH 4005,01,Introduction to Aesthetics,5,10:00,12:50,KEC 1003,
31,CCAH 4007,03,"Politics, Peoples and Cultures: The Making of a Globalising World since 1945",1,11:30,12:50,KEC 701,
32,CCAH 4007,03,"Politics, Peoples and Cultures: The Making of a Globalising World since 1945",3,08:30,09:50,KEC 503,
33,CCAH 4008,04,The Process of Theatre Making,2,13:00,15:50,KEC 1001,
34,CCAH 4008,05,The Process of Theatre Making,4,13:00,15:50,KEC 1001,
35,CCAH 4009,04,Visual Arts in Contexts,2,10:00,12:50,KEC 1003,
36,CCAH 4009,05,Visual Arts in Contexts,5,14:30,17:20,KEC 1003,
37,CCAH 4010,01,From A Barren Rock to Asia's World City: A History of Modern Hong Kong,3,16:00,17:20,KEC 807,
